ciudad;vulnerabilidad;nivel_de_urgencia_x;patron_social;impacto_social;n_reportes;id;nombre;edad;genero;comentario;categoria_del_problema;nivel_de_urgencia_y;fecha_del_reporte;acceso_a_internet;atencion_previa_del_gobierno;zona_rural;comentario_limpio;tema;palabras_clave;sentimiento;sent_neg;sent_neu;sent_pos
cucuta;0.52;0.49;Zona invisible;0.51;966;175;laura;17.0;otro;queremos mas presencia policial;educacion;no urgente;2023 04 09;1;0;0;queremos mas presencia policial;1;calles, estan, oscuras, peligrosas, policial;neutro;0.26389757;0.57646215;0.15964028
cucuta;0.52;0.49;Zona invisible;0.51;966;192;laura;15.0;m;faltan medicos en el centro de salud;educacion;no urgente;2024 05 31;1;0;0;faltan medicos centro salud;2;centro, culturales, faltan, medicos, salud;negativo;0.7121867;0.2749538;0.0128595345
cucuta;0.52;0.49;Zona invisible;0.51;966;194;valentina;63.0;f;falta agua potable en varias casas;educacion;no urgente;2023 06 14;1;0;0;falta agua potable varias casas;5;agua, casas, falta, potable, varias;negativo;0.85468775;0.13371721;0.011595
cucuta;0.52;0.49;Zona invisible;0.51;966;218;camilo;75.0;otro;falta agua potable en varias casas;seguridad;no urgente;2023 01 25;0;0;1;falta agua potable varias casas;5;agua, casas, falta, potable, varias;negativo;0.85468775;0.13371721;0.011595
cucuta;0.52;0.49;Zona invisible;0.51;966;233;valentina;61.0;otro;no tenemos centros culturales ni bibliotecas;medio ambiente;urgente;2023 08 04;1;0;0;centros culturales bibliotecas;2;centro, culturales, faltan, medicos, salud;negativo;0.86244655;0.12654918;0.011004276
cucuta;0.52;0.49;Zona invisible;0.51;966;242;carlos;58.0;otro;;seguridad;no urgente;2024 11 22;0;0;0;;3;(sin datos suficientes);positivo;0.21312903;0.2888706;0.4980004
cucuta;0.52;0.49;Zona invisible;0.51;966;243;laura;76.0;f;faltan medicos en el centro de salud;medio ambiente;no urgente;2024 06 11;0;0;0;faltan medicos centro salud;2;centro, culturales, faltan, medicos, salud;negativo;0.7121867;0.27495375;0.012859541
cucuta;0.52;0.49;Zona invisible;0.51;966;251;valentina;62.0;m;las calles estan muy oscuras y peligrosas;salud;urgente;2023 09 01;0;1;0;calles estan oscuras peligrosas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9442576;0.047759444;0.0079829935
cucuta;0.52;0.49;Zona invisible;0.51;966;253;sofia;67.0;m;hay problemas con la recoleccion de basura;educacion;urgente;2024 07 27;1;0;0;problemas recoleccion basura;4;basura, basuras, problemas, recogen, tiempo;negativo;0.87674534;0.11656104;0.0066936696
cucuta;0.52;0.49;Zona invisible;0.51;966;270;camilo;79.0;f;la contaminacion del rio esta aumentando;seguridad;no urgente;2023 12 31;0;1;0;contaminacion rio aumentando;0;acceso, internet, mas, necesitamos, zona;negativo;0.90396965;0.08435153;0.011678818
cucuta;0.52;0.49;Zona invisible;0.51;966;273;maria;32.0;m;no tenemos centros culturales ni bibliotecas;seguridad;urgente;2024 04 09;0;0;0;centros culturales bibliotecas;2;centro, culturales, faltan, medicos, salud;negativo;0.86244655;0.12654918;0.011004276
cucuta;0.52;0.49;Zona invisible;0.51;966;277;juan;79.0;f;queremos mas presencia policial;seguridad;no urgente;2023 07 08;0;0;1;queremos mas presencia policial;1;calles, estan, oscuras, peligrosas, policial;neutro;0.26389757;0.57646215;0.15964028
cucuta;0.52;0.49;Zona invisible;0.51;966;278;maria;58.0;f;faltan medicos en el centro de salud;medio ambiente;urgente;2023 08 01;0;1;1;faltan medicos centro salud;2;centro, culturales, faltan, medicos, salud;negativo;0.7121867;0.2749538;0.0128595345
cucuta;0.52;0.49;Zona invisible;0.51;966;282;laura;22.0;f;necesitamos mas acceso a internet en la zona;educacion;urgente;2023 06 20;1;0;0;necesitamos mas acceso internet zona;0;acceso, internet, mas, necesitamos, zona;neutro;0.121529706;0.75686437;0.12160592
cucuta;0.52;0.49;Zona invisible;0.51;966;297;ana;26.0;m;necesitamos mas acceso a internet en la zona;educacion;no urgente;2023 04 29;1;1;0;necesitamos mas acceso internet zona;0;acceso, internet, mas, necesitamos, zona;neutro;0.121529706;0.75686437;0.12160592
cucuta;0.52;0.49;Zona invisible;0.51;966;308;ana;;otro;la contaminacion del rio esta aumentando;educacion;urgente;2024 07 25;0;1;1;contaminacion rio aumentando;0;acceso, internet, mas, necesitamos, zona;negativo;0.90396965;0.08435153;0.011678818
cucuta;0.52;0.49;Zona invisible;0.51;966;311;ana;78.0;m;queremos mas presencia policial;medio ambiente;urgente;2023 09 01;0;1;0;queremos mas presencia policial;1;calles, estan, oscuras, peligrosas, policial;neutro;0.26389757;0.57646215;0.15964028
cucuta;0.52;0.49;Zona invisible;0.51;966;341;carlos;50.0;f;las basuras no se recogen a tiempo;salud;no urgente;2023 08 20;1;1;1;basuras recogen tiempo;4;basura, basuras, problemas, recogen, tiempo;negativo;0.7337145;0.23748139;0.028804075
cucuta;0.52;0.49;Zona invisible;0.51;966;342;valentina;19.0;otro;no hay suficientes escuelas publicas;educacion;no urgente;2024 10 15;1;1;1;suficientes escuelas publicas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9277882;0.06445757;0.0077542006
cucuta;0.52;0.49;Zona invisible;0.51;966;345;juan;61.0;m;queremos mas presencia policial;seguridad;no urgente;2023 09 30;1;1;1;queremos mas presencia policial;1;calles, estan, oscuras, peligrosas, policial;neutro;0.26389757;0.57646215;0.15964028
cucuta;0.52;0.49;Zona invisible;0.51;966;346;maria;20.0;;no tenemos centros culturales ni bibliotecas;salud;urgente;2024 10 27;1;1;0;centros culturales bibliotecas;2;centro, culturales, faltan, medicos, salud;negativo;0.86244667;0.12654915;0.011004277
cucuta;0.52;0.49;Zona invisible;0.51;966;347;carlos;62.0;otro;falta agua potable en varias casas;seguridad;no urgente;2023 10 09;1;1;1;falta agua potable varias casas;5;agua, casas, falta, potable, varias;negativo;0.85468775;0.13371721;0.011595
cucuta;0.52;0.49;Zona invisible;0.51;966;355;juan;44.0;m;faltan medicos en el centro de salud;medio ambiente;no urgente;2024 01 01;0;0;1;faltan medicos centro salud;2;centro, culturales, faltan, medicos, salud;negativo;0.7121867;0.27495375;0.012859541
cucuta;0.52;0.49;Zona invisible;0.51;966;389;sofia;76.0;m;las calles estan muy oscuras y peligrosas;educacion;urgente;2023 10 19;1;1;0;calles estan oscuras peligrosas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9442576;0.047759444;0.0079829935
cucuta;0.52;0.49;Zona invisible;0.51;966;396;camilo;33.0;otro;necesitamos mas acceso a internet en la zona;educacion;no urgente;2023 12 05;0;1;1;necesitamos mas acceso internet zona;0;acceso, internet, mas, necesitamos, zona;neutro;0.121529706;0.75686437;0.12160592
cucuta;0.52;0.49;Zona invisible;0.51;966;400;maria;61.0;m;;seguridad;no urgente;2023 12 18;0;1;0;;3;(sin datos suficientes);positivo;0.21312903;0.2888706;0.4980004
cucuta;0.52;0.49;Zona invisible;0.51;966;412;camilo;59.0;m;falta agua potable en varias casas;salud;no urgente;2023 06 13;1;1;0;falta agua potable varias casas;5;agua, casas, falta, potable, varias;negativo;0.85468775;0.13371721;0.011595
cucuta;0.52;0.49;Zona invisible;0.51;966;417;juan;33.0;otro;las basuras no se recogen a tiempo;educacion;no urgente;2024 02 06;0;1;0;basuras recogen tiempo;4;basura, basuras, problemas, recogen, tiempo;negativo;0.7337145;0.23748139;0.028804075
cucuta;0.52;0.49;Zona invisible;0.51;966;420;carlos;43.0;f;falta agua potable en varias casas;salud;no urgente;2023 09 20;1;1;0;falta agua potable varias casas;5;agua, casas, falta, potable, varias;negativo;0.85468775;0.13371721;0.011595
cucuta;0.52;0.49;Zona invisible;0.51;966;423;carlos;59.0;m;;medio ambiente;urgente;2023 10 30;0;1;0;;3;(sin datos suficientes);positivo;0.21312903;0.2888706;0.4980003
cucuta;0.52;0.49;Zona invisible;0.51;966;425;camilo;64.0;otro;las basuras no se recogen a tiempo;seguridad;urgente;2023 11 10;0;1;0;basuras recogen tiempo;4;basura, basuras, problemas, recogen, tiempo;negativo;0.7337145;0.23748139;0.028804075
cucuta;0.52;0.49;Zona invisible;0.51;966;432;sofia;62.0;otro;falta agua potable en varias casas;medio ambiente;no urgente;2023 05 07;0;0;0;falta agua potable varias casas;5;agua, casas, falta, potable, varias;negativo;0.85468775;0.13371721;0.011595
cucuta;0.52;0.49;Zona invisible;0.51;966;439;valentina;53.0;m;queremos mas presencia policial;seguridad;urgente;2024 02 14;0;0;1;queremos mas presencia policial;1;calles, estan, oscuras, peligrosas, policial;neutro;0.26389757;0.57646215;0.15964028
cucuta;0.52;0.49;Zona invisible;0.51;966;444;valentina;80.0;otro;hay problemas con la recoleccion de basura;medio ambiente;urgente;2023 10 01;0;0;0;problemas recoleccion basura;4;basura, basuras, problemas, recogen, tiempo;negativo;0.87674534;0.11656104;0.006693663
cucuta;0.52;0.49;Zona invisible;0.51;966;447;juan;74.0;otro;falta agua potable en varias casas;salud;urgente;2023 01 25;1;1;1;falta agua potable varias casas;5;agua, casas, falta, potable, varias;negativo;0.85468775;0.13371721;0.011595
cucuta;0.52;0.49;Zona invisible;0.51;966;457;pedro;;otro;las calles estan muy oscuras y peligrosas;educacion;no urgente;2023 02 23;0;1;1;calles estan oscuras peligrosas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9442576;0.047759444;0.0079829935
cucuta;0.52;0.49;Zona invisible;0.51;966;465;maria;67.0;m;las calles estan muy oscuras y peligrosas;educacion;urgente;2024 03 25;1;1;0;calles estan oscuras peligrosas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9442576;0.047759444;0.0079829935
cucuta;0.52;0.49;Zona invisible;0.51;966;488;pedro;27.0;f;queremos mas presencia policial;seguridad;urgente;2023 05 26;1;1;1;queremos mas presencia policial;1;calles, estan, oscuras, peligrosas, policial;neutro;0.26389757;0.57646215;0.15964028
cucuta;0.52;0.49;Zona invisible;0.51;966;499;carlos;47.0;m;faltan medicos en el centro de salud;educacion;no urgente;2024 10 21;0;0;0;faltan medicos centro salud;2;centro, culturales, faltan, medicos, salud;negativo;0.7121867;0.27495375;0.012859541
cucuta;0.52;0.49;Zona invisible;0.51;966;501;carlos;37.0;m;queremos mas presencia policial;educacion;urgente;2024 10 12;0;0;0;queremos mas presencia policial;1;calles, estan, oscuras, peligrosas, policial;neutro;0.26389757;0.57646215;0.15964028
cucuta;0.52;0.49;Zona invisible;0.51;966;510;carlos;;f;hay problemas con la recoleccion de basura;medio ambiente;urgente;2024 02 15;1;1;1;problemas recoleccion basura;4;basura, basuras, problemas, recogen, tiempo;negativo;0.87674534;0.11656104;0.006693663
cucuta;0.52;0.49;Zona invisible;0.51;966;511;carlos;49.0;otro;las calles estan muy oscuras y peligrosas;educacion;no urgente;2023 05 03;0;1;1;calles estan oscuras peligrosas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9442576;0.047759444;0.0079829935
cucuta;0.52;0.49;Zona invisible;0.51;966;544;ana;61.0;otro;necesitamos mas acceso a internet en la zona;medio ambiente;no urgente;2023 05 29;0;1;1;necesitamos mas acceso internet zona;0;acceso, internet, mas, necesitamos, zona;neutro;0.121529706;0.75686437;0.12160592
cucuta;0.52;0.49;Zona invisible;0.51;966;549;juan;78.0;otro;las calles estan muy oscuras y peligrosas;seguridad;urgente;2024 02 04;0;1;0;calles estan oscuras peligrosas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9442576;0.047759444;0.0079829935
cucuta;0.52;0.49;Zona invisible;0.51;966;550;laura;73.0;m;hay problemas con la recoleccion de basura;seguridad;urgente;2023 06 03;1;1;1;problemas recoleccion basura;4;basura, basuras, problemas, recogen, tiempo;negativo;0.87674534;0.11656104;0.006693663
cucuta;0.52;0.49;Zona invisible;0.51;966;554;pedro;63.0;f;las basuras no se recogen a tiempo;salud;no urgente;2023 02 14;0;1;1;basuras recogen tiempo;4;basura, basuras, problemas, recogen, tiempo;negativo;0.7337146;0.23748137;0.028804062
cucuta;0.52;0.49;Zona invisible;0.51;966;566;maria;26.0;otro;falta agua potable en varias casas;salud;urgente;2023 10 06;0;1;1;falta agua potable varias casas;5;agua, casas, falta, potable, varias;negativo;0.85468775;0.13371721;0.011595
cucuta;0.52;0.49;Zona invisible;0.51;966;571;ana;64.0;m;las basuras no se recogen a tiempo;seguridad;urgente;2024 02 26;0;1;1;basuras recogen tiempo;4;basura, basuras, problemas, recogen, tiempo;negativo;0.7337145;0.23748139;0.028804075
cucuta;0.52;0.49;Zona invisible;0.51;966;577;pedro;38.0;f;;salud;urgente;2023 09 06;0;1;0;;3;(sin datos suficientes);positivo;0.21312903;0.2888706;0.4980003
cucuta;0.52;0.49;Zona invisible;0.51;966;594;maria;28.0;otro;la contaminacion del rio esta aumentando;seguridad;urgente;2024 11 03;1;1;0;contaminacion rio aumentando;0;acceso, internet, mas, necesitamos, zona;negativo;0.90396965;0.08435153;0.011678818
cucuta;0.52;0.49;Zona invisible;0.51;966;603;carlos;20.0;f;hay problemas con la recoleccion de basura;seguridad;urgente;2023 07 30;0;1;1;problemas recoleccion basura;4;basura, basuras, problemas, recogen, tiempo;negativo;0.87674534;0.11656104;0.0066936696
cucuta;0.52;0.49;Zona invisible;0.51;966;609;jorge;47.0;otro;queremos mas presencia policial;seguridad;urgente;2024 02 09;0;1;1;queremos mas presencia policial;1;calles, estan, oscuras, peligrosas, policial;neutro;0.26389757;0.57646215;0.15964028
cucuta;0.52;0.49;Zona invisible;0.51;966;611;maria;78.0;otro;las basuras no se recogen a tiempo;educacion;urgente;2024 03 15;0;1;1;basuras recogen tiempo;4;basura, basuras, problemas, recogen, tiempo;negativo;0.7337145;0.23748139;0.028804075
cucuta;0.52;0.49;Zona invisible;0.51;966;628;valentina;49.0;otro;no tenemos centros culturales ni bibliotecas;seguridad;no urgente;2023 03 12;0;0;0;centros culturales bibliotecas;2;centro, culturales, faltan, medicos, salud;negativo;0.86244667;0.12654915;0.011004277
cucuta;0.52;0.49;Zona invisible;0.51;966;657;laura;74.0;f;las basuras no se recogen a tiempo;seguridad;no urgente;2024 04 16;0;0;0;basuras recogen tiempo;4;basura, basuras, problemas, recogen, tiempo;negativo;0.7337145;0.23748139;0.028804075
cucuta;0.52;0.49;Zona invisible;0.51;966;658;laura;46.0;m;la contaminacion del rio esta aumentando;salud;no urgente;2024 06 08;1;1;0;contaminacion rio aumentando;0;acceso, internet, mas, necesitamos, zona;negativo;0.90396965;0.08435153;0.011678818
cucuta;0.52;0.49;Zona invisible;0.51;966;665;carlos;52.0;f;hay problemas con la recoleccion de basura;salud;no urgente;2023 04 09;0;0;1;problemas recoleccion basura;4;basura, basuras, problemas, recogen, tiempo;negativo;0.87674534;0.11656104;0.0066936696
cucuta;0.52;0.49;Zona invisible;0.51;966;688;jorge;57.0;f;las calles estan muy oscuras y peligrosas;seguridad;urgente;2023 11 26;0;1;0;calles estan oscuras peligrosas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9442576;0.04775948;0.007983001
cucuta;0.52;0.49;Zona invisible;0.51;966;691;juan;66.0;m;la contaminacion del rio esta aumentando;medio ambiente;no urgente;2023 10 24;0;1;1;contaminacion rio aumentando;0;acceso, internet, mas, necesitamos, zona;negativo;0.90396976;0.08435152;0.011678813
cucuta;0.52;0.49;Zona invisible;0.51;966;695;camilo;42.0;m;las calles estan muy oscuras y peligrosas;seguridad;urgente;2023 11 22;0;1;0;calles estan oscuras peligrosas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9442576;0.047759444;0.0079829935
cucuta;0.52;0.49;Zona invisible;0.51;966;706;carlos;18.0;otro;hay problemas con la recoleccion de basura;educacion;urgente;2024 09 16;1;1;1;problemas recoleccion basura;4;basura, basuras, problemas, recogen, tiempo;negativo;0.87674534;0.11656104;0.006693663
cucuta;0.52;0.49;Zona invisible;0.51;966;709;valentina;21.0;otro;no tenemos centros culturales ni bibliotecas;seguridad;urgente;2024 09 01;0;0;1;centros culturales bibliotecas;2;centro, culturales, faltan, medicos, salud;negativo;0.86244655;0.12654918;0.011004276
cucuta;0.52;0.49;Zona invisible;0.51;966;713;jorge;70.0;f;no tenemos centros culturales ni bibliotecas;educacion;urgente;2023 01 06;1;0;1;centros culturales bibliotecas;2;centro, culturales, faltan, medicos, salud;negativo;0.86244655;0.12654918;0.011004276
cucuta;0.52;0.49;Zona invisible;0.51;966;714;camilo;56.0;;falta agua potable en varias casas;educacion;no urgente;2023 05 02;1;0;0;falta agua potable varias casas;5;agua, casas, falta, potable, varias;negativo;0.85468775;0.13371721;0.011595
cucuta;0.52;0.49;Zona invisible;0.51;966;716;camilo;31.0;otro;hay problemas con la recoleccion de basura;seguridad;no urgente;2024 04 03;1;0;0;problemas recoleccion basura;4;basura, basuras, problemas, recogen, tiempo;negativo;0.87674534;0.11656104;0.006693663
cucuta;0.52;0.49;Zona invisible;0.51;966;726;pedro;76.0;m;queremos mas presencia policial;medio ambiente;no urgente;2024 11 03;1;0;1;queremos mas presencia policial;1;calles, estan, oscuras, peligrosas, policial;neutro;0.26389757;0.57646215;0.15964028
cucuta;0.52;0.49;Zona invisible;0.51;966;734;pedro;62.0;m;las basuras no se recogen a tiempo;educacion;no urgente;2023 01 22;0;0;0;basuras recogen tiempo;4;basura, basuras, problemas, recogen, tiempo;negativo;0.7337146;0.23748137;0.028804062
cucuta;0.52;0.49;Zona invisible;0.51;966;773;sofia;50.0;f;faltan medicos en el centro de salud;medio ambiente;no urgente;2024 09 05;1;0;0;faltan medicos centro salud;2;centro, culturales, faltan, medicos, salud;negativo;0.7121867;0.27495375;0.012859541
cucuta;0.52;0.49;Zona invisible;0.51;966;774;camilo;57.0;f;la contaminacion del rio esta aumentando;seguridad;no urgente;2023 07 27;1;1;0;contaminacion rio aumentando;0;acceso, internet, mas, necesitamos, zona;negativo;0.90396965;0.08435153;0.011678818
cucuta;0.52;0.49;Zona invisible;0.51;966;778;laura;19.0;otro;no hay suficientes escuelas publicas;salud;urgente;2024 08 03;1;1;0;suficientes escuelas publicas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9277882;0.06445757;0.0077542006
cucuta;0.52;0.49;Zona invisible;0.51;966;783;sofia;62.0;f;no hay suficientes escuelas publicas;educacion;no urgente;2024 09 14;1;1;1;suficientes escuelas publicas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9277882;0.0644576;0.0077542006
cucuta;0.52;0.49;Zona invisible;0.51;966;791;ana;80.0;f;necesitamos mas acceso a internet en la zona;educacion;no urgente;2023 11 21;1;0;1;necesitamos mas acceso internet zona;0;acceso, internet, mas, necesitamos, zona;neutro;0.121529706;0.75686437;0.12160592
cucuta;0.52;0.49;Zona invisible;0.51;966;798;maria;;f;queremos mas presencia policial;educacion;urgente;2024 11 02;1;0;1;queremos mas presencia policial;1;calles, estan, oscuras, peligrosas, policial;neutro;0.26389757;0.57646215;0.15964028
cucuta;0.52;0.49;Zona invisible;0.51;966;799;valentina;44.0;otro;hay problemas con la recoleccion de basura;salud;no urgente;2024 07 20;0;1;1;problemas recoleccion basura;4;basura, basuras, problemas, recogen, tiempo;negativo;0.87674534;0.11656104;0.0066936696
cucuta;0.52;0.49;Zona invisible;0.51;966;813;laura;62.0;m;no hay suficientes escuelas publicas;educacion;no urgente;2023 09 19;0;0;1;suficientes escuelas publicas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9277882;0.0644576;0.0077542006
cucuta;0.52;0.49;Zona invisible;0.51;966;814;juan;43.0;f;necesitamos mas acceso a internet en la zona;seguridad;no urgente;2023 07 26;1;0;0;necesitamos mas acceso internet zona;0;acceso, internet, mas, necesitamos, zona;neutro;0.121529706;0.75686437;0.12160592
cucuta;0.52;0.49;Zona invisible;0.51;966;838;pedro;30.0;otro;falta agua potable en varias casas;seguridad;no urgente;2023 01 18;1;0;0;falta agua potable varias casas;5;agua, casas, falta, potable, varias;negativo;0.85468775;0.13371721;0.011595
cucuta;0.52;0.49;Zona invisible;0.51;966;844;sofia;66.0;m;necesitamos mas acceso a internet en la zona;seguridad;no urgente;2023 10 27;1;0;0;necesitamos mas acceso internet zona;0;acceso, internet, mas, necesitamos, zona;neutro;0.121529706;0.75686437;0.12160592
cucuta;0.52;0.49;Zona invisible;0.51;966;845;carlos;42.0;m;faltan medicos en el centro de salud;seguridad;no urgente;2023 08 01;0;0;1;faltan medicos centro salud;2;centro, culturales, faltan, medicos, salud;negativo;0.7121867;0.27495375;0.012859541
cucuta;0.52;0.49;Zona invisible;0.51;966;861;carlos;32.0;otro;necesitamos mas acceso a internet en la zona;salud;no urgente;2023 12 02;0;0;0;necesitamos mas acceso internet zona;0;acceso, internet, mas, necesitamos, zona;neutro;0.121529706;0.75686437;0.12160592
cucuta;0.52;0.49;Zona invisible;0.51;966;863;pedro;58.0;f;no hay suficientes escuelas publicas;educacion;no urgente;2024 05 16;0;0;1;suficientes escuelas publicas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9277882;0.0644576;0.0077542006
cucuta;0.52;0.49;Zona invisible;0.51;966;868;valentina;58.0;otro;no hay suficientes escuelas publicas;medio ambiente;urgente;2024 11 02;1;0;0;suficientes escuelas publicas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9277882;0.06445757;0.0077542006
cucuta;0.52;0.49;Zona invisible;0.51;966;875;pedro;73.0;otro;necesitamos mas acceso a internet en la zona;salud;no urgente;2023 01 26;0;0;0;necesitamos mas acceso internet zona;0;acceso, internet, mas, necesitamos, zona;neutro;0.121529706;0.75686437;0.12160592
cucuta;0.52;0.49;Zona invisible;0.51;966;884;carlos;43.0;f;falta agua potable en varias casas;medio ambiente;urgente;2024 07 23;0;0;1;falta agua potable varias casas;5;agua, casas, falta, potable, varias;negativo;0.85468775;0.13371721;0.011595
cucuta;0.52;0.49;Zona invisible;0.51;966;895;laura;60.0;otro;faltan medicos en el centro de salud;educacion;urgente;2023 04 24;1;0;1;faltan medicos centro salud;2;centro, culturales, faltan, medicos, salud;negativo;0.7121867;0.27495375;0.012859541
cucuta;0.52;0.49;Zona invisible;0.51;966;897;maria;25.0;m;necesitamos mas acceso a internet en la zona;salud;no urgente;2023 11 15;0;1;1;necesitamos mas acceso internet zona;0;acceso, internet, mas, necesitamos, zona;neutro;0.121529706;0.75686437;0.12160592
cucuta;0.52;0.49;Zona invisible;0.51;966;914;ana;48.0;m;las basuras no se recogen a tiempo;medio ambiente;no urgente;2024 08 13;0;0;1;basuras recogen tiempo;4;basura, basuras, problemas, recogen, tiempo;negativo;0.7337146;0.23748137;0.028804062
