id;nombre;edad;genero;ciudad;comentario;categoria_del_problema;nivel_de_urgencia;fecha_del_reporte;acceso_a_internet;atencion_previa_del_gobierno;zona_rural;comentario_limpio;tema;palabras_clave;sentimiento;sent_neg;sent_neu;sent_pos
77;valentina;22.0;;bogota;las basuras no se recogen a tiempo;medio ambiente;no urgente;2023 01 25;0;1;1;basuras recogen tiempo;4;basura, basuras, problemas, recogen, tiempo;negativo;0.7337145;0.23748139;0.028804075
78;sofia;;m;manizales;no tenemos centros culturales ni bibliotecas;seguridad;no urgente;2023 11 05;0;0;0;centros culturales bibliotecas;2;centro, culturales, faltan, medicos, salud;negativo;0.86244667;0.12654915;0.011004277
79;laura;30.0;f;cali;necesitamos mas acceso a internet en la zona;educacion;urgente;2023 03 15;1;0;1;necesitamos mas acceso internet zona;0;acceso, internet, mas, necesitamos, zona;neutro;0.121529706;0.75686437;0.12160592
80;valentina;25.0;otro;santa marta;las calles estan muy oscuras y peligrosas;seguridad;urgente;2024 07 12;1;0;1;calles estan oscuras peligrosas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9442576;0.04775948;0.007983001
81;juan;21.0;m;bogota;;medio ambiente;urgente;2024 08 17;0;1;1;;3;(sin datos suficientes);positivo;0.21312903;0.2888706;0.4980003
82;juan;19.0;f;cali;la contaminacion del rio esta aumentando;seguridad;urgente;2023 05 29;0;0;0;contaminacion rio aumentando;0;acceso, internet, mas, necesitamos, zona;negativo;0.90396965;0.08435153;0.011678818
83;camilo;58.0;otro;manizales;la contaminacion del rio esta aumentando;medio ambiente;urgente;2023 10 09;1;0;1;contaminacion rio aumentando;0;acceso, internet, mas, necesitamos, zona;negativo;0.90396976;0.08435152;0.011678813
84;laura;76.0;f;santa marta;la contaminacion del rio esta aumentando;salud;urgente;2024 09 03;1;1;0;contaminacion rio aumentando;0;acceso, internet, mas, necesitamos, zona;negativo;0.90396965;0.08435153;0.011678818
85;camilo;16.0;otro;cali;faltan medicos en el centro de salud;salud;no urgente;2024 05 05;1;1;0;faltan medicos centro salud;2;centro, culturales, faltan, medicos, salud;negativo;0.7121867;0.27495375;0.012859541
86;juan;38.0;m;bogota;necesitamos mas acceso a internet en la zona;educacion;no urgente;2024 04 21;0;1;1;necesitamos mas acceso internet zona;0;acceso, internet, mas, necesitamos, zona;neutro;0.121529706;0.75686437;0.12160592
87;sofia;75.0;m;barranquilla;;salud;no urgente;2023 07 28;0;1;1;;3;(sin datos suficientes);positivo;0.21312903;0.2888706;0.4980003
88;pedro;58.0;otro;cucuta;la contaminacion del rio esta aumentando;medio ambiente;no urgente;2023 06 04;1;0;1;contaminacion rio aumentando;0;acceso, internet, mas, necesitamos, zona;negativo;0.90396965;0.08435153;0.011678818
89;camilo;61.0;m;cucuta;las basuras no se recogen a tiempo;seguridad;urgente;2024 07 27;0;0;0;basuras recogen tiempo;4;basura, basuras, problemas, recogen, tiempo;negativo;0.7337145;0.23748139;0.028804075
90;laura;60.0;f;cali;faltan medicos en el centro de salud;medio ambiente;no urgente;2023 10 24;0;1;1;faltan medicos centro salud;2;centro, culturales, faltan, medicos, salud;negativo;0.7121867;0.2749538;0.0128595345
91;jorge;66.0;f;manizales;no hay suficientes escuelas publicas;seguridad;urgente;2023 10 30;0;1;1;suficientes escuelas publicas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9277882;0.0644576;0.0077542006
92;juan;;m;bogota;faltan medicos en el centro de salud;seguridad;urgente;2023 07 12;0;0;1;faltan medicos centro salud;2;centro, culturales, faltan, medicos, salud;negativo;0.7121867;0.2749538;0.0128595345
93;sofia;25.0;m;medellin;faltan medicos en el centro de salud;seguridad;no urgente;2024 02 25;0;1;0;faltan medicos centro salud;2;centro, culturales, faltan, medicos, salud;negativo;0.7121867;0.27495375;0.012859541
94;carlos;;f;medellin;queremos mas presencia policial;seguridad;no urgente;2024 11 09;1;1;1;queremos mas presencia policial;1;calles, estan, oscuras, peligrosas, policial;neutro;0.26389757;0.57646215;0.15964028
95;jorge;20.0;otro;cali;la contaminacion del rio esta aumentando;educacion;no urgente;2023 07 24;0;1;0;contaminacion rio aumentando;0;acceso, internet, mas, necesitamos, zona;negativo;0.90396976;0.08435152;0.011678813
96;juan;31.0;m;cartagena;queremos mas presencia policial;seguridad;urgente;2024 07 10;1;0;0;queremos mas presencia policial;1;calles, estan, oscuras, peligrosas, policial;neutro;0.26389757;0.57646215;0.15964028
97;valentina;72.0;f;medellin;falta agua potable en varias casas;medio ambiente;urgente;2023 08 25;1;0;0;falta agua potable varias casas;5;agua, casas, falta, potable, varias;negativo;0.85468775;0.13371721;0.011595
98;carlos;66.0;otro;manizales;hay problemas con la recoleccion de basura;medio ambiente;urgente;2023 01 23;0;1;0;problemas recoleccion basura;4;basura, basuras, problemas, recogen, tiempo;negativo;0.87674534;0.11656104;0.006693663
99;jorge;67.0;otro;medellin;faltan medicos en el centro de salud;salud;no urgente;2024 01 17;1;0;1;faltan medicos centro salud;2;centro, culturales, faltan, medicos, salud;negativo;0.7121867;0.27495375;0.012859541
100;sofia;;f;cartagena;queremos mas presencia policial;salud;urgente;2024 08 17;0;0;1;queremos mas presencia policial;1;calles, estan, oscuras, peligrosas, policial;neutro;0.26389757;0.57646215;0.15964028
101;valentina;36.0;otro;cartagena;faltan medicos en el centro de salud;seguridad;urgente;2024 09 25;0;0;0;faltan medicos centro salud;2;centro, culturales, faltan, medicos, salud;negativo;0.7121867;0.27495375;0.012859541
102;maria;51.0;m;barranquilla;no tenemos centros culturales ni bibliotecas;educacion;no urgente;2024 03 03;1;0;1;centros culturales bibliotecas;2;centro, culturales, faltan, medicos, salud;negativo;0.86244667;0.12654915;0.011004277
103;jorge;27.0;f;manizales;la contaminacion del rio esta aumentando;medio ambiente;no urgente;2024 05 23;0;1;0;contaminacion rio aumentando;0;acceso, internet, mas, necesitamos, zona;negativo;0.90396976;0.08435152;0.011678813
104;jorge;44.0;otro;cucuta;las calles estan muy oscuras y peligrosas;seguridad;no urgente;2023 02 23;1;0;0;calles estan oscuras peligrosas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9442576;0.04775948;0.007983001
105;sofia;50.0;f;cucuta;la contaminacion del rio esta aumentando;educacion;no urgente;2024 03 16;1;0;0;contaminacion rio aumentando;0;acceso, internet, mas, necesitamos, zona;negativo;0.90396976;0.08435152;0.011678813
106;ana;19.0;f;medellin;faltan medicos en el centro de salud;salud;urgente;2023 09 07;1;1;1;faltan medicos centro salud;2;centro, culturales, faltan, medicos, salud;negativo;0.7121867;0.2749538;0.0128595345
107;carlos;;f;pereira;la contaminacion del rio esta aumentando;medio ambiente;no urgente;2024 03 17;1;0;1;contaminacion rio aumentando;0;acceso, internet, mas, necesitamos, zona;negativo;0.90396976;0.08435152;0.011678813
108;jorge;54.0;f;medellin;faltan medicos en el centro de salud;educacion;no urgente;2024 07 16;1;1;0;faltan medicos centro salud;2;centro, culturales, faltan, medicos, salud;negativo;0.7121867;0.2749538;0.0128595345
109;valentina;44.0;;cucuta;faltan medicos en el centro de salud;educacion;no urgente;2024 08 01;0;0;1;faltan medicos centro salud;2;centro, culturales, faltan, medicos, salud;negativo;0.7121867;0.27495375;0.012859541
110;juan;27.0;m;cucuta;faltan medicos en el centro de salud;salud;urgente;2023 01 12;1;0;0;faltan medicos centro salud;2;centro, culturales, faltan, medicos, salud;negativo;0.7121867;0.2749538;0.0128595345
111;juan;74.0;otro;pereira;las basuras no se recogen a tiempo;seguridad;urgente;2023 12 03;1;0;0;basuras recogen tiempo;4;basura, basuras, problemas, recogen, tiempo;negativo;0.7337145;0.23748139;0.028804075
112;juan;65.0;otro;pereira;hay problemas con la recoleccion de basura;salud;urgente;2023 04 08;1;0;1;problemas recoleccion basura;4;basura, basuras, problemas, recogen, tiempo;negativo;0.87674534;0.11656104;0.006693663
113;valentina;32.0;f;barranquilla;;educacion;no urgente;2023 01 02;0;0;1;;3;(sin datos suficientes);positivo;0.21312903;0.2888706;0.4980003
114;carlos;19.0;otro;medellin;queremos mas presencia policial;seguridad;urgente;2023 04 05;0;1;1;queremos mas presencia policial;1;calles, estan, oscuras, peligrosas, policial;neutro;0.26389757;0.57646215;0.15964028
115;camilo;25.0;otro;bogota;hay problemas con la recoleccion de basura;salud;urgente;2024 04 01;1;1;1;problemas recoleccion basura;4;basura, basuras, problemas, recogen, tiempo;negativo;0.87674534;0.11656104;0.0066936696
116;jorge;36.0;otro;bogota;no tenemos centros culturales ni bibliotecas;seguridad;no urgente;2024 02 15;0;1;0;centros culturales bibliotecas;2;centro, culturales, faltan, medicos, salud;negativo;0.86244667;0.12654915;0.011004277
117;laura;55.0;f;cali;falta agua potable en varias casas;medio ambiente;urgente;2023 09 09;0;1;1;falta agua potable varias casas;5;agua, casas, falta, potable, varias;negativo;0.85468775;0.13371721;0.011595
118;jorge;62.0;f;cartagena;no tenemos centros culturales ni bibliotecas;medio ambiente;urgente;2023 04 01;0;1;1;centros culturales bibliotecas;2;centro, culturales, faltan, medicos, salud;negativo;0.86244667;0.12654915;0.011004277
119;maria;43.0;f;bucaramanga;las basuras no se recogen a tiempo;educacion;no urgente;2023 01 29;1;0;1;basuras recogen tiempo;4;basura, basuras, problemas, recogen, tiempo;negativo;0.7337145;0.23748139;0.028804075
120;pedro;54.0;otro;santa marta;no tenemos centros culturales ni bibliotecas;educacion;no urgente;2023 09 21;1;1;0;centros culturales bibliotecas;2;centro, culturales, faltan, medicos, salud;negativo;0.86244667;0.12654915;0.011004277
121;carlos;;f;cali;faltan medicos en el centro de salud;seguridad;urgente;2024 03 10;1;0;0;faltan medicos centro salud;2;centro, culturales, faltan, medicos, salud;negativo;0.7121867;0.27495375;0.012859541
122;maria;65.0;m;cartagena;faltan medicos en el centro de salud;medio ambiente;no urgente;2023 07 18;0;0;1;faltan medicos centro salud;2;centro, culturales, faltan, medicos, salud;negativo;0.7121867;0.2749538;0.0128595345
123;sofia;66.0;;cartagena;las basuras no se recogen a tiempo;medio ambiente;urgente;2024 07 02;1;1;1;basuras recogen tiempo;4;basura, basuras, problemas, recogen, tiempo;negativo;0.7337145;0.23748139;0.028804075
124;ana;31.0;otro;barranquilla;queremos mas presencia policial;seguridad;no urgente;2024 06 10;1;1;0;queremos mas presencia policial;1;calles, estan, oscuras, peligrosas, policial;neutro;0.26389757;0.57646215;0.15964028
125;pedro;47.0;m;medellin;necesitamos mas acceso a internet en la zona;medio ambiente;no urgente;2024 09 09;1;0;0;necesitamos mas acceso internet zona;0;acceso, internet, mas, necesitamos, zona;neutro;0.121529706;0.75686437;0.12160592
126;juan;61.0;otro;pereira;hay problemas con la recoleccion de basura;educacion;no urgente;2023 06 04;1;0;0;problemas recoleccion basura;4;basura, basuras, problemas, recogen, tiempo;negativo;0.87674534;0.11656104;0.006693663
127;camilo;32.0;otro;bucaramanga;la contaminacion del rio esta aumentando;seguridad;urgente;2023 06 20;1;0;0;contaminacion rio aumentando;0;acceso, internet, mas, necesitamos, zona;negativo;0.90396976;0.08435152;0.011678813
128;laura;46.0;m;pereira;las basuras no se recogen a tiempo;educacion;urgente;2024 04 22;0;1;1;basuras recogen tiempo;4;basura, basuras, problemas, recogen, tiempo;negativo;0.7337146;0.23748137;0.028804062
